ts,posx_gt,posy_gt,posx_meas,posy_meas,velx,vely
8.200000000000000622e-01,-6.568188342414774894e+00,1.476953672329795531e+01,-6.104565699373625698e+00,1.545099959836907999e+01,-1.439885043659408304e+01,3.887842092343950640e+01
8.300000000000000711e-01,-6.724697809121015446e+00,1.493297569999323393e+01,-8.392653181847627764e+00,1.505439161067271492e+01,-2.277598791783999133e+01,3.245945469463695332e+01
8.399999999999999689e-01,-6.882915704164643600e+00,1.509582142763626678e+01,-7.160644809286936585e+00,1.482264386885552909e+01,-1.997352167026768655e+01,7.893762397961870292e+00
8.499999999999999778e-01,-7.042835781374074955e+00,1.525806747735656188e+01,-5.569177974380613350e+00,1.571363061296837849e+01,-1.321328433916952605e+01,2.081955242361089375e+01
8.599999999999999867e-01,-7.204451727378488712e+00,1.541970744395788628e+01,-9.249470275418202547e+00,1.597074378145413576e+01,-1.854906063395679894e+01,3.103479385613599817e+01
8.699999999999999956e-01,-7.367757161857067416e+00,1.558073494617113042e+01,-7.988484991590056872e+00,1.719639076239487352e+01,-1.872924822738342954e+01,1.297204163904169505e+01
8.800000000000000044e-01,-7.532745637790881688e+00,1.574114362690622926e+01,-7.098856501524717366e+00,1.675106731626410195e+01,-3.005952059275244892e+01,2.703325097003943256e+01
8.900000000000000133e-01,-7.699410641717407522e+00,1.590092715350313313e+01,-7.238392947986831416e+00,1.614922364872989746e+01,-3.702414069658388485e+00,2.930016197623940144e+01
9.000000000000000222e-01,-7.867745593987665487e+00,1.606007921798180504e+01,-7.815229530154441662e+00,1.679791374354232758e+01,-1.737586186820736245e+01,2.694585243734768909e+01
9.100000000000000311e-01,-8.037743849025975607e+00,1.621859353729124820e+01,-7.418007481967960892e+00,1.599045420681475527e+01,-3.177907378282114337e+01,8.447263812485550361e+00
9.200000000000000400e-01,-8.209398695592312833e+00,1.637646385355755996e+01,-8.079186483085063486e+00,1.595704485001529527e+01,-3.878179735223517355e+01,1.397855141648036081e+01
9.300000000000000488e-01,-8.382703357047255111e+00,1.653368393433096983e+01,-7.176810668791569370e+00,1.815214824316414877e+01,-2.618980815652830074e+01,1.477729764286332070e+01
9.400000000000000577e-01,-8.557650991619512482e+00,1.669024757283189331e+01,-7.884980678906054585e+00,1.778982236706737652e+01,-9.889626000381081639e+00,3.227621625142429451e+00
9.500000000000000666e-01,-8.734234692676031031e+00,1.684614858819596250e+01,-8.928814995952640388e+00,1.752179411091000816e+01,-1.922729781846912189e+01,1.738108735751798761e+01
9.599999999999999645e-01,-8.912447488994653000e+00,1.700138082571803366e+01,-1.077145596772325931e+01,1.688371060259322576e+01,-3.356082942865306507e+00,1.793546998241464863e+01
9.699999999999999734e-01,-9.092282345039327751e+00,1.715593815709517145e+01,-8.718064005969726082e+00,1.719179615650972792e+01,-2.647563080321432238e+01,2.731234252822103059e+01
9.799999999999999822e-01,-9.273732161237866478e+00,1.730981448066857808e+01,-8.046685000361746276e+00,1.731368100679789990e+01,-2.130357482107299560e+01,1.128837531544149542e+01
9.899999999999999911e-01,-9.456789774262217563e+00,1.746300372166447801e+01,-1.112830876187840445e+01,1.879012807019762121e+01,-3.543193654793937242e+01,8.085640345525156647e+00
1.000000000000000000e+00,-9.641447957311262584e+00,1.761549983243393669e+01,-1.035129751803526688e+01,1.872534867731907937e+01,-9.212257924386456409e+00,-7.835709510328857874e+00
1.010000000000000009e+00,-9.827699420396122321e+00,1.776729679269161721e+01,-1.165258205600343544e+01,1.790432463523103124e+01,-1.635677824253646051e+01,1.071826177508663491e+00
1.020000000000000018e+00,-1.001553681062794610e+01,1.791838860975344616e+01,-1.134517896504315715e+01,1.680953612790825957e+01,-1.972185081716026289e+01,1.912019646279289731e+01
1.030000000000000027e+00,-1.020495271250819691e+01,1.806876931877319592e+01,-1.009334053352038296e+01,1.886167791722258258e+01,-2.020942518780770669e+01,2.317833734680696978e+01
1.040000000000000036e+00,-1.039593964822140038e+01,1.821843298297796920e+01,-8.604780803425400748e+00,1.805945331881046201e+01,-2.012591998053784437e+01,1.424727404201894565e+01
1.050000000000000044e+00,-1.058849007793035568e+01,1.836737369390256802e+01,-1.135788786418587470e+01,1.830707556645272049e+01,-1.915436004008358850e+01,2.537416187690379132e+01
1.060000000000000053e+00,-1.078259640007379794e+01,1.851558557162275065e+01,-1.004471919118716450e+01,1.669794327118059840e+01,-2.967371770485364735e+01,2.519614214297248722e+01
1.070000000000000062e+00,-1.097825095166649234e+01,1.866306276498736594e+01,-1.149113105526411616e+01,1.834304740258528454e+01,-3.569320304019178991e+01,1.163712284308255462e+00
1.080000000000000071e+00,-1.117544600860175663e+01,1.880979945184934010e+01,-1.287091608535694753e+01,1.834521810734600678e+01,-1.634203564161619582e+01,8.317662830037185984e+00
1.090000000000000080e+00,-1.137417378595639406e+01,1.895578983929553019e+01,-1.141998233500558158e+01,1.833950084894145149e+01,-2.729130926026208925e+01,2.103433268029252545e+01
1.100000000000000089e+00,-1.157442643829803153e+01,1.910102816387541580e+01,-1.073581288488039398e+01,1.791683305660071213e+01,-1.851310890925525143e+00,-2.565753989838528426e+00
1.110000000000000098e+00,-1.177619605999484342e+01,1.924550869182862911e+01,-1.047625272123076456e+01,1.983032645212638556e+01,-2.405697736958068589e+01,4.866170236918958381e+01
1.120000000000000107e+00,-1.197947468552764860e+01,1.938922571931131600e+01,-1.212920094438765517e+01,1.945516050224354743e+01,-8.772061170309836342e+00,3.098099747010431315e+01
1.130000000000000115e+00,-1.218425428980437886e+01,1.953217357262131770e+01,-1.259273065985072648e+01,1.772036585156914512e+01,-9.940105949076082581e+00,1.590352429729994910e+01
1.140000000000000124e+00,-1.239052678847689748e+01,1.967434660842214811e+01,-1.211712562477649691e+01,2.065368883957472690e+01,-1.470984543256949451e+01,2.504426300959921292e+01
1.150000000000000133e+00,-1.259828403826015197e+01,1.981573921396579507e+01,-1.172931571281759666e+01,1.967201008233725545e+01,-2.155339371423769279e+01,1.814597755926469702e+01
1.159999999999999920e+00,-1.280751783725365911e+01,1.995634580731429253e+01,-1.211683339270013171e+01,2.086199478755971271e+01,-1.578617402347057386e+01,1.901370522470923419e+01
1.169999999999999929e+00,-1.301821992526529925e+01,2.009616083756009530e+01,-1.303446941706379469e+01,1.877608531193817853e+01,-1.360793724433559859e+01,2.547124720438921130e+01
1.179999999999999938e+00,-1.323038198413741640e+01,2.023517878504520695e+01,-1.508206057607436890e+01,1.793356911816943722e+01,-1.058104173324686847e+01,7.659415066372848635e+00
1.189999999999999947e+00,-1.344399563807520792e+01,2.037339416157909966e+01,-1.444112126176714916e+01,1.911783975727346530e+01,-2.232317716501784588e+01,1.506687179157368917e+01
1.199999999999999956e+00,-1.365905245397738099e+01,2.051080151065537294e+01,-1.253601453686416178e+01,2.144483421704925519e+01,-1.828497810633486154e+01,1.741559879129265553e+01
1.209999999999999964e+00,-1.387554394176907913e+01,2.064739540766716175e+01,-1.353558994781436375e+01,2.130659557362410794e+01,-3.860297975496866485e+01,9.896159194563992401e+00
1.219999999999999973e+00,-1.409346155473705764e+01,2.078317046012129765e+01,-1.430855502770413068e+01,1.962217973373921964e+01,-2.547008515091431491e+01,3.173402262280300334e+01
1.229999999999999982e+00,-1.431279668986709019e+01,2.091812130785119450e+01,-1.537479775360058198e+01,1.966825259739004750e+01,-2.320209378309446180e+01,9.371317618971236385e+00
1.239999999999999991e+00,-1.453354068818360645e+01,2.105224262322845874e+01,-1.471249230291040888e+01,2.114673432097160699e+01,-1.163985577823276962e+01,1.600699151292829470e+01
1.250000000000000000e+00,-1.475568483509152529e+01,2.118552911137321004e+01,-1.495173387424457090e+01,2.243478772288296241e+01,-2.875641406439847714e+01,7.724907987031109258e+00
1.260000000000000009e+00,-1.497922036072029783e+01,2.131797551036311944e+01,-1.359647147561581981e+01,2.097222887730195140e+01,-4.356076857956164616e+00,1.742755523181377697e+01
1.270000000000000018e+00,-1.520413844027012829e+01,2.144957659144114004e+01,-1.452480374364694526e+01,2.238987799793558153e+01,-1.710975430289338561e+01,6.350489795160999762e+00
1.280000000000000027e+00,-1.543043019436035657e+01,2.158032715922192679e+01,-1.468966308139004440e+01,2.175964859364530213e+01,-2.849461658886459503e+01,3.006730239312858899e+01
1.290000000000000036e+00,-1.565808668938000459e+01,2.171022205189694532e+01,-1.727576744826479427e+01,2.105167177639812337e+01,-3.234329185759435887e+01,-5.080438141519216799e-01
1.300000000000000044e+00,-1.588709893784045946e+01,2.183925614143824845e+01,-1.620167713324113379e+01,2.242790504897570258e+01,-3.676558894980909997e+01,-6.052374466821154542e+00
1.310000000000000053e+00,-1.611745789873028301e+01,2.196742433380092407e+01,-1.652673344909092989e+01,2.342788920794390606e+01,-2.225641847918214467e+01,2.468725498762714921e+01
1.320000000000000062e+00,-1.634915447787213694e+01,2.209472156912419294e+01,-1.684946873175318061e+01,2.405759007795796478e+01,-4.596220150149230221e+01,1.367996838494436140e+01
1.330000000000000071e+00,-1.658217952828180586e+01,2.222114282193117774e+01,-1.760389171418608356e+01,2.245410656867987953e+01,-3.670551219250928909e+01,3.299128307037963026e+01
1.340000000000000080e+00,-1.681652385052930399e+01,2.234668310132728308e+01,-1.622115564219982886e+01,2.290514874001653567e+01,-1.063465963765301225e+01,-1.228352138861430021e+00
